trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.46499999999999986, 'e': 0.2592402606458915}",35,19,31.1286971382188,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.46399999999999986, 'e': 0.2566607769535559}",30,7,-3.0826493331324967,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.46299999999999986, 'e': 0.25410695955280027}",30,16,-19.33178955147418,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
138,False,"{'a': 0.46199999999999986, 'e': 0.25157855305975646}",25,16,0.21408164524299522,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.46099999999999985, 'e': 0.24907530463166816}",30,15,-23.8503913005369,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.45999999999999985, 'e': 0.24659696394160643}",25,11,14.222108993108403,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.45899999999999985, 'e': 0.2441432831534371}",25,15,-36.27145959821423,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.45799999999999985, 'e': 0.24171401689703645}",25,14,8.226104667105126,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.45699999999999985, 'e': 0.23930892224375455}",25,13,8.957517573215856,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.45599999999999985, 'e': 0.23692775868212176}",25,6,28.549506781386157,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.45499999999999985, 'e': 0.23457028809379765}",35,15,11.618589305666802,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.45399999999999985, 'e': 0.23223627472975883}",20,0,-50.56924595491831,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
147,False,"{'a': 0.45299999999999985, 'e': 0.22992548518672384}",20,16,8.246270151153952,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.45199999999999985, 'e': 0.22763768838381274}",20,8,0.1627711437825472,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.45099999999999985, 'e': 0.22537265553943872}",25,1,-23.572663346063525,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
150,False,"{'a': 0.44999999999999984, 'e': 0.22313016014842982}",20,12,17.85650412341812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.44899999999999984, 'e': 0.2209099779593782}",25,12,15.990493366702367,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.44799999999999984, 'e': 0.21871188695221475}",20,3,16.859654710879557,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.44699999999999984, 'e': 0.21653566731600707}",35,22,25.35003423695732,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.44599999999999984, 'e': 0.21438110142697794}",30,9,-35.448546775930886,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
155,False,"{'a': 0.44499999999999984, 'e': 0.21224797382674304}",20,6,26.609497328733056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.44399999999999984, 'e': 0.21013607120076472}",20,10,-1.7348859260047318,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.44299999999999984, 'e': 0.20804518235702046}",20,11,16.386756107001823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
